road,id,model_type,name,lat,lon,length,condition,road_lrp,nearest_road,distance_to_nearest_road
N1,N1_342,link,Km post missing,22.7263882,91.6007778,1.0,,N1LRP191,N106_31,33.09328743179108
N1,N1_344,link,Km post missing,22.7185549,91.6053056,0.6129999999999995,,N1LRP192,N106_31,32.127615885054624
N1,N1_347,link,"Ctg 52 km,Sitakhada 12 km",22.7143889,91.6079444,0.3830000000000098,,N1LRP193,N106_31,31.599233709127915
N1,N1_349,link,Km post missing,22.7065556,91.6123611,0.9329999999999927,,N1LRP194,N106_31,30.64295012167851
N1,N1_351,link,"Ctg 50 km,Sitakanda 10 km",22.6984997,91.616666,0.4170000000000016,,N1LRP195,N106_31,29.67725331398609
N1,N1_353,link,Km post missing,22.6904163,91.6205271,0.11600000000001387,,N1LRP196,N106_31,28.74186217389712
N1,N1_355,link,"Ctg 48 km,Sitakanda 8 km",22.6825549,91.6241938,0.5330000000000155,,N1LRP197,N106_31,27.84135279696556
N1,N1_357,link,Km post missing,22.6743049,91.6277493,0.3340000000000032,,N1LRP198,N106_31,26.92062777377885
N1,N1_360,link,"Ctg 46 km,Sitakanda 6 km",22.6649167,91.6315549,0.10900000000000887,,N1LRP199,N106_31,25.895992259594156
N1,N1_362,link,Km post missing,22.6571389,91.636333,0.5720000000000027,,N1LRP200,N106_31,24.935246448780397
N1,N1_365,link,"Ctg 44 km,Sitakanda 4 km",22.6494997,91.640833,0.19700000000000273,,N1LRP201,N106_31,24.00833246521606
N1,N1_367,link,Km post missing,22.641583,91.6451108,0.7409999999999854,,N1LRP202,N106_31,23.079713965605198
N1,N1_370,link,"Ctg 42 km,Sitakanda 2 km",22.6330827,91.649833,0.14599999999998658,,N1LRP203,N106_31,22.0782185644386
N1,N1_373,link,Km post missing,22.6252216,91.6545278,0.0730000000000075,,N1LRP204,N106_31,21.132302730099454
N1,N1_376,link,"Ctg 40 km,Sitakanda 0 km",22.6169716,91.65875,0.20699999999999363,,N1LRP205,N106_31,20.199531624589127
N1,N1_379,link,Km post missing,22.6094444,91.6638333,0.2920000000000016,,N1LRP206,N106_31,19.258849179701063
N1,N1_382,link,Ctg 38 km,22.6015833,91.6688327,0.09999999999999432,,N1LRP207,N106_31,18.306183489848266
N1,N1_384,link,Km post missing,22.5939997,91.6738327,0.4089999999999918,,N1LRP208,N106_31,17.37931427663219
N1,N1_387,link,Info.Missing,22.584583,91.6780827,0.3009999999999877,,N1LRP209,N106_31,16.400415496825783
N1,N1_390,link,Km post missing,22.5763604,91.6818049,0.04999999999998295,,N1LRP210,N106_31,15.561941136781387
N1,N1_393,link,Km post missing,22.5679716,91.6846941,0.002999999999985903,,N1LRP211,N106_31,14.805190860225554
N1,N1_395,link,Km post missing,22.5594444,91.6872219,0.8160000000000025,,N1LRP212,N106_31,14.100734313341848
N1,N1_398,link,Ctg 32 km,22.5514167,91.6896941,0.34099999999997976,,N1LRP213,N106_31,13.460940457454928
N1,N1_401,link,Km post missing,22.5438886,91.6945274,0.07899999999997931,,N1LRP214,N106_31,12.656254109311986
N1,N1_403,link,Ctg 30 km,22.5354997,91.6979441,0.4230000000000018,,N1LRP215,N106_31,11.978714952469092
N1,N1_405,link,Km post missing,22.5273049,91.7019444,0.37299999999999045,,N1LRP216,N106_31,11.297159269815293
N1,N1_407,link,Ctg 28 km,22.5187216,91.7055556,0.5099999999999909,,N1LRP217,N106_31,10.695282702658355
N1,N1_409,link,Km post missing,22.5106111,91.7090833,0.08899999999999864,,N1LRP218,N106_31,10.176859613329324
N1,N1_411,link,Km post missing,22.5025556,91.7130556,0.4289999999999736,,N1LRP219,N106_31,9.682847589672848
N1,N1_413,link,Km post missing,22.494583,91.7170827,0.6999999999999886,,N1LRP220,N106_31,9.261346547007133
N1,N1_416,link,Ctg 24 km,22.4854163,91.7195549,0.014999999999986358,,N1LRP221,N106_28,9.089626348237463
N1,N1_418,link,Info.Missing,22.4765271,91.7213327,0.5279999999999916,,N1LRP222,N106_28,9.005268016891389
N1,N1_420,link,Ctg 22 km,22.468416,91.7255827,0.561000000000007,,N1LRP223,N106_28,8.764829094002433
N1,N1_422,link,Km post missing,22.4603056,91.7295827,0.26300000000000523,,N1LRP224,N106_28,8.65849265872243
N1,N1_423,link,Info.Missing,22.45182350044248,91.7331283022124,1.0180000000000007,,N1LRP225,N106_21,8.644550493407253
N1,N1_426,link,Km post missing,22.4433886,91.7364163,0.3189999999999884,,N1LRP226,N106_21,8.402669077714657
N1,N1_429,link,Km post missing,22.4349719,91.7396941,0.01300000000000523,,N1LRP227,N106_17,8.204669531439208
N1,N1_430,link,Km post missing,22.4269716,91.7439997,0.9399999999999977,,N1LRP228,N106_12,7.780300953773086
N1,N1_432,link,Km post missing,22.4198882,91.7497774,0.30400000000000205,,N1LRP229,N106_6,7.110552640139517
N1,N1_433,link,Km post missing,22.4119167,91.7543611,1.0,,N1LRP230,N106_6,6.568640468874805
N1,N1_434,link,Km post missing,22.4032222,91.7565278,1.0,,N1LRP231,N106_6,6.400735183381914
N1,N1_437,link,Km post missing,22.3944997,91.7586944,0.20900000000000318,,N1LRP232,N106_4,6.267701090411905
N1,N1_439,link,Km post missing,22.3861663,91.7618333,0.8029999999999973,,N1LRP233,N106_4,6.147956153988786
N1,N1_442,link,Km post missing,22.379166,91.7675827,0.08500000000000796,,N1LRP234,N106_4,5.877347922706962
N1,N1_444,link,Km post missing,22.369166,91.7741938,0.03999999999999204,,N1LRP235,N106_4,5.890826522639693
N1,N1_445,link,Km post missing,22.3646111,91.8508333,9.449999999999989,,N1LRP245,N106_4,5.289073486446626
